"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"92","844558","I Mulini a Vento B&B Singole","Daniele","I Centro Storico","4,190,828","124,604","Private room","4858622","I Mulini a Vento B&B Double","Daniele","I Centro Storico","4,190,983","1,245,898","Private room"
"92","928606","Room in the heart of Rome","Alessandro","XII Monte Verde","4,187,768","1,245,929","Private room","8657289","Room at Fori Imperiali/ Monti, the heart of Rome!","Alessandra","I Centro Storico","4,189,462","1,248,708","Private room"
"92","956558","Holiday rental St.Peter's area (4 beds)","Maurizio","XIII Aurelia","4,189,353","1,244,399","Entire home/apt","10547700","Holiday rental St.Peter's area (2 beds)","Maurizio","XIII Aurelia","4,189,573","1,244,429","Entire home/apt"
"92","1000327","Rome St. Peter","Stefano","XII Monte Verde","4,187,735","1,244,815","Entire home/apt","11652513","Costantino Secondo, Roma St. Pietro","Stefano","I Centro Storico","4,190,973","1,245,655","Entire home/apt"
"92","1026336","apartment in the center of rome","Alessandro","XII Monte Verde","4,187,786","1,245,726","Entire home/apt","19209435","Cozy Apartment near the Center of Rome","Alessandra","V Prenestino/Centocelle","4,188,082","1,254,142","Entire home/apt"
"92","738741","COLOSSEUM  AMORE  Apartment","Stefano","I Centro Storico","4,189,615","1,250,694","Entire home/apt","18907494","Apartment Coliseum","Stefano","I Centro Storico","4,188,911","1,249,442","Entire home/apt"
"92","796926","COLISEUM ROOMS, Huge room 10min Colosseum","Gianluca","I Centro Storico","4,188,794","1,250,821","Private room","16923829","colosseum room","Gianluca","I Centro Storico","4,189,307","1,249,249","Private room"
"92","808450","IN THE HEART OF ROME","Francesca","I Centro Storico","4,189,553","1,247,337","Entire home/apt","21207913","Amazing loft in the heart of Rome whit great view!","Francesca","I Centro Storico","4,190,542","1,248,545","Entire home/apt"
"92","761967","Double Room","George","I Centro Storico","4,189,055","1,250,628","Private room","26591060","Superior Double Room (room 105)","Steffy George","II Parioli/Nomentano","4,192,712","125,145","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","25768444","Dab Guest House - Vintage Standard Room","Alessandro","I Centro Storico","4,190,969","1,249,731","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26834159","Dab Guest House - Pop Superior  Room","Alessandro","I Centro Storico","4,190,923","1,249,615","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26834622","Dab Guest House - Industrial Basic Room","Alessandro","I Centro Storico","4,190,949","1,249,651","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26835535","DAB Guest House - Floreal Basic Room","Alessandro","I Centro Storico","4,191,049","1,249,653","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26806338","Dab Guest House - Baldacchino Standard Room","Alessandro","I Centro Storico","4,190,926","1,249,613","Private room"
"92","92585","DAB","Alessandro","I Centro Storico","4,190,982","1,249,248","Private room","26807026","Dab Guest House - City Standard Room","Alessandro","I Centro Storico","4,190,968","124,973","Private room"
"92","1086589","Vatican apartment","Loredana","I Centro Storico","4,190,513","1,244,758","Entire home/apt","33468925","COLONNA LUXURY APARTMENT VATICANO","Loredana","I Centro Storico","4,191,164","124,675","Entire home/apt"
"92","1108531","TRASTEVERE'S HOME","Francesca","I Centro Storico","418,887","1,247,384","Entire home/apt","33729957","Sweet Home in the Trastevere district","Paolo &  Francesca","I Centro Storico","4,189,111","1,246,766","Entire home/apt"
